adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000727273-18-000015	727273	CADIZ INC	4941	US	CA	LOS ANGELES	90071	550 SOUTH HOPE STREET	SUITE 2850	213-271-1600	US	CA	LOS ANGELES	90071	550 SOUTH HOPE STREET	SUITE 2850	US	DE	770313235	CADIZ LAND CO INC	19920703	2-ACC	0	1231	10-Q	20180630	2018	Q2	20180806	2018-08-06 16:35:00.0	0	1	cdzi-20180630.xml	1	
0000727920-18-000014	727920	AXA EQUITABLE LIFE INSURANCE CO	6411	US	NY	NEW YORK	10104	1290 AVENUE OF THE AMERICAS		2125541234	US	NY	NEW YORK	10104	1290 AVENUE OF AMERICAS		US	NY	135570651	AXA-EQUITABLE LIFE INSURANCE CO	20040928	4-NON	0	1231	10-Q	20180630	2018	Q2	20180814	2018-08-14 10:13:00.0	0	1	axaeq-20180630.xml	1	
0000728391-18-000037	728391	IPALCO ENTERPRISES, INC.	4911	US	IN	INDIANAPOLIS	46204	ONE MONUMENT CIRCLE	PO BOX 1595	3172618261	US	IN	INDIANAPOLIS	46204	ONE MONUMENT CIRCLE	P.O. BOX 1595	US	IN	351575582	IPALCO ENTERPRISES INC	19920703	4-NON	0	1231	10-Q	20180630	2018	Q2	20180807	2018-08-06 18:09:00.0	0	1	cik0000728391-20180630.xml	1	
0000729580-18-000022	729580	BEL FUSE INC /NJ	3677	US	NJ	JERSEY CITY	07302	206 VAN VORST ST.		2014320463	US	NJ	JERSEY CITY	07302	206 VAN VORST ST.		US	NJ	221463699			2-ACC	0	1231	10-Q	20180630	2018	Q2	20180807	2018-08-07 12:49:00.0	0	1	belfb-20180630.xml	1	
0000731012-18-000061	731012	HEALTHCARE SERVICES GROUP INC	8050	US	PA	BENSALEM	19020	3220 TILLMAN DRIVE	SUITE 300	2159381661	US	PA	BENSALEM	19020	3220 TILLMAN DRIVE	SUITE 300	US	PA	232018365			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180727	2018-07-27 17:02:00.0	0	1	hcsg-20180630.xml	1	
0000731766-18-000030	731766	UNITEDHEALTH GROUP INC	6324	US	MN	MINNEAPOLIS	55343	UNITEDHEALTH GROUP CENTER	9900 BREN ROAD EAST	9529361300	US	MN	MINNETONKA	55343	9900 BREN ROAD EAST		US	DE	411321939	UNITED HEALTHCARE CORP/	20000309	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180807	2018-08-07 16:08:00.0	0	1	unh-20180630.xml	1	
0000731802-18-000029	731802	ATMOS ENERGY CORP	4924	US	TX	DALLAS	75240	1800 THREE LINCOLN CTR	5430 LBJ FREEWAY	9729349227	US	TX	DALLAS	75240	1800 THREE LINCOLN CTR	5430 LBJ FREEWAY	US	TX	751743247	ENERGAS CO	19881024	1-LAF	0	0930	10-Q	20180630	2018	Q3	20180808	2018-08-08 17:19:00.0	0	1	ato-20180630.xml	1	
0000732417-18-000036	732417	HILLS BANCORPORATION	6022	US	IA	HILLS	52235	131 MAIN ST		3196792291	US	IA	HILLS	52235	131 MAIN ST		US	IA	421208067			2-ACC	0	1231	10-Q	20180630	2018	Q2	20180803	2018-08-03 15:22:00.0	0	1	hbia-20180630.xml	1	
0000732712-18-000044	732712	VERIZON COMMUNICATIONS INC	4813	US	NY	NEW YORK	10036	1095 AVENUE OF THE AMERICAS		212-395-1000	US	NY	NEW YORK	10036	1095 AVENUE OF THE AMERICAS		US	DE	232259884	BELL ATLANTIC CORP	19920703	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180731	2018-07-31 11:00:00.0	0	1	vz-20180630.xml	1	
0000732834-18-000009	732834	CONTINENTAL RESOURCES, INC	1311	US	OK	OKLAHOMA CITY	73102	20 NORTH BROADWAY		4052349000	US	OK	OKLAHOMA CITY	73126	PO BOX 268836		US	OK	730767549	CONTINENTAL RESOURCES INC	19980811	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180807	2018-08-07 17:10:00.0	0	1	clr-20180630.xml	1	
0000733076-18-000012	733076	BRIGHTHOUSE LIFE INSURANCE CO	6311	US	NC	CHARLOTTE	28277	11225 NORTH COMMUNITY HOUSE ROAD		617-578-3514	US	NC	CHARLOTTE	28277	11225 NORTH COMMUNITY HOUSE ROAD		US	DE	060566090	METLIFE INSURANCE CO USA	20141118	4-NON	0	1231	10-Q	20180630	2018	Q2	20180808	2018-08-08 16:34:00.0	0	1	bhl-20180630.xml	1	
0000733269-18-000023	733269	ACXIOM CORP	7374	US	AR	CONWAY	72032	301 E. DAVE WARD DRIVE		5012521000	US	AR	CONWAY	72032	301 E. DAVE WARD DRIVE		US	DE	710581897	CCX NETWORK INC	19880816	1-LAF	0	0331	10-Q	20180630	2018	Q1	20180809	2018-08-09 16:37:00.0	0	1	acxm-20180630.xml	1	
0000736772-18-000007	736772	CNB FINANCIAL CORP/PA	6022	US	PA	CLEARFIELD	16830	1 SOUTH SECOND STREET	P.O. BOX 42	8147659621	US	PA	CLEARFIELD	16830	1 SOUTH SECOND STREET	P.O. BOX 42	US	PA	251450605			2-ACC	0	1231	10-Q	20180630	2018	Q2	20180809	2018-08-09 10:39:00.0	0	1	ccne-20180630.xml	1	
0000737468-18-000105	737468	WASHINGTON TRUST BANCORP INC	6022	US	RI	WESTERLY	02891	23 BROAD ST		4013481200	US	RI	WESTERLY	02891	23 BROAD STREET		US	RI	050404671			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180802	2018-08-02 12:10:00.0	0	1	wash-20180630.xml	1	
0000737758-18-000042	737758	TORO CO	3524	US	MN	BLOOMINGTON	55420-1196	8111 LYNDALE AVE SOUTH		9528888801	US	MN	BLOOMINGTON	55420	8111 LYNDALE AVENUE SOUTH		US	DE	410580470	TORO CO/DE	19920703	1-LAF	0	1031	10-Q	20180731	2018	Q3	20180905	2018-09-05 12:11:00.0	0	1	ttc-20180803.xml	1	
0000739421-18-000093	739421	CITIZENS FINANCIAL SERVICES INC	6022	US	PA	MANSFIELD	16933	15 S MAIN ST		570-662-0444	US	PA	MANSFIELD	16933	15 S MAIN ST		US	PA	232265045			2-ACC	0	1231	10-Q	20180630	2018	Q2	20180809	2018-08-09 11:11:00.0	0	1	czfs-20180630.xml	1	
0000740260-18-000145	740260	VENTAS INC	6798	US	IL	CHICAGO	60654	353 N. CLARK STREET	SUITE 3300	3126603800	US	IL	CHICAGO	60654	353 N. CLARK STREET	SUITE 3300	US	DE	611055020			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180727	2018-07-27 15:57:00.0	0	1	vtr6302018-10q_htm.xml	1	
0000740663-18-000035	740663	FIRST OF LONG ISLAND CORP	6021	US	NY	GLEN HEAD	11545	10 GLEN HEAD RD		5166714900	US	NY	GLEN HEAD	11545	10 GLEN HEAD ROAD		US	NY	112672906			2-ACC	0	1231	10-Q	20180630	2018	Q2	20180809	2018-08-09 12:15:00.0	0	1	flic-20180630.xml	1	
0000741516-18-000034	741516	AMERICAN NATIONAL BANKSHARES INC.	6021	US	VA	DANVILLE	24541	628 MAIN ST		4347925111	US	VA	DANVILLE	24543	628 MAIN STREET	P O BOX 191	US	VA	541284688	AMERICAN NATIONAL BANKSHARES INC	19920703	2-ACC	0	1231	10-Q	20180630	2018	Q2	20180803	2018-08-03 12:57:00.0	0	1	amnb-20180630.xml	1	
0000741815-18-000054	741815	HOOPER HOLMES INC	8090	US	KS	OLATHE	66062	560 N. ROGERS ROAD		9137641045	US	KS	OLATHE	66062	560 N. ROGERS ROAD		US	NY	221659359			5-SML	0	1231	10-Q	20180630	2018	Q2	20180814	2018-08-14 16:57:00.0	0	1	hh-20180630.xml	1	
0000742112-18-000074	742112	INVACARE CORP	3842	US	OH	ELYRIA	44036	ONE INVACARE WAY	P O BOX 4028	4403296000	US	OH	ELYRIA	44036	ONE INVACARE WAY	P O BOX 4028	US	OH	952680965			2-ACC	0	1231	10-Q	20180630	2018	Q2	20180807	2018-08-07 16:39:00.0	0	1	ivc-20180630.xml	1	
0000743316-18-000031	743316	MAXIM INTEGRATED PRODUCTS INC	3674	US	CA	SAN JOSE	95134	160 RIO ROBLES		408-601-1000	US	CA	SAN JOSE	95134	160 RIO ROBLES		US	DE	942896096			1-LAF	0	0630	10-K	20180630	2018	FY	20180817	2018-08-17 16:28:00.0	0	1	mxim-20180630.xml	1	
0000743367-18-000126	743367	BAR HARBOR BANKSHARES	6022	US	ME	BAR HARBOR	04609-0400	82 MAIN ST	PO BOX 400	2072883314	US	ME	BAR HARBOR	04609-0400	82 MAIN ST	PO BOX 400	US	ME	010393663			2-ACC	0	1231	10-Q	20180630	2018	Q2	20180807	2018-08-07 16:03:00.0	0	1	bhb-20180630.xml	1	
0000743988-18-000038	743988	XILINX INC	3674	US	CA	SAN JOSE	95124	2100 LOGIC DR		4085597778	US	CA	SAN JOSE	95124	2100 LOGIC DRIVE		US	DE	770188631			1-LAF	1	0331	10-Q	20180630	2018	Q1	20180727	2018-07-27 17:16:00.0	0	1	xlnx-20180630.xml	1	
0000744455-18-000016	744455	GREAT WEST LIFE & ANNUITY INSURANCE CO	6311	US	CO	GREENWOOD VILLAGE	80111	8515 E ORCHARD RD		303-737-3000	US	CO	GREENWOOD VILLAGE	80111	8515 E ORCHARD RD		US	CO	840467907			4-NON	0	1231	10-Q	20180630	2018	Q2	20180814	2018-08-14 15:24:00.0	0	1	gac-20180630.xml	1	
0000745732-18-000024	745732	ROSS STORES INC	5651	US	CA	DUBLIN	94568	5130 HACIENDA DRIVE		9259654400	US	CA	DUBLIN	94568	5130 HACIENDA DRIVE		US	DE	941390387			1-LAF	0	0131	10-Q	20180731	2018	Q2	20180912	2018-09-11 18:18:00.0	0	1	rost-20180804.xml	1	
0000745981-18-000099	745981	MIDSOUTH BANCORP INC	6021	US	LA	LAFAYETTE	70501	102 VERSAILLES BLVD	VERSAILLES CENTRE	3182378343	US	LA	LAFAYETTE	70501	102 VERSAILLES BLVD		US	LA	721020809			2-ACC	0	1231	10-Q	20180630	2018	Q2	20180809	2018-08-09 16:56:00.0	1	1	msl-20180630.xml	1	
0000745981-18-000103	745981	MIDSOUTH BANCORP INC	6021	US	LA	LAFAYETTE	70501	102 VERSAILLES BLVD	VERSAILLES CENTRE	3182378343	US	LA	LAFAYETTE	70501	102 VERSAILLES BLVD		US	LA	721020809			2-ACC	0	1231	10-Q/A	20180630	2018	Q2	20180810	2018-08-10 17:11:00.0	0	1	msl-20180630.xml	1	
0000746210-18-000048	746210	GLOWPOINT, INC.	4813	US	CO	DENVER	80203	1776 LINCOLN STREET	SUITE 1300	303-640-3838	US	CO	DENVER	80203	1776 LINCOLN STREET	SUITE 1300	US	DE	770312442	GLOWPOINT INC	20031112	5-SML	0	1231	10-Q	20180630	2018	Q2	20180809	2018-08-09 08:15:00.0	0	1	glow-20180630.xml	1	
0000746515-18-000029	746515	EXPEDITORS INTERNATIONAL OF WASHINGTON INC	4731	US	WA	SEATTLE	98104	1015 THIRD AVENUE 12TH FLOOR		2066743400	US	WA	SEATTLE	98104	1015 THIRD AVENUE 12TH FLOOR		US	WA	911069248			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180808	2018-08-08 10:00:00.0	0	1	expd-20180630.xml	1	
0000746598-18-000086	746598	BRADY CORP	3990	US	WI	MILWAUKEE	53201-0571	6555 W GOOD HOPE RD	P O BOX 571	4143586600	US	WI	MILWAUKEE	53223	6555 GOOD HOPE RD		US	WI	390178960	BRADY W H CO	19920703	1-LAF	1	0731	10-K	20180731	2018	FY	20180913	2018-09-13 07:12:00.0	0	1	brc-20180731.xml	1	
0000746838-18-000030	746838	UNISYS CORP	7373	US	PA	BLUE BELL	19422	801 LAKEVIEW DRIVE, SUITE 100		2159864011	US	PA	BLUE BELL	19422	801 LAKEVIEW DRIVE, SUITE 100		US	DE	380387840	BURROUGHS CORP /DE/	19861204	2-ACC	0	1231	10-Q	20180630	2018	Q2	20180801	2018-08-01 13:24:00.0	0	1	uis-20180630.xml	1	
0000749251-18-000013	749251	GARTNER INC	8741	US	CT	STAMFORD	06904-2212	56 TOP GALLANT RD	P O BOX 10212	2039640096	US	CT	STAMFORD	06904-2212	56 TOP GALLANT RD	P O BOX 10212	US	DE	043099750	GARTNER GROUP INC	19930823	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180801	2018-08-01 06:07:00.0	0	1	it-20180331.xml	1	
0000750004-18-000171	750004	SCIENTIFIC GAMES CORP	7373	US	NV	LAS VEGAS	89119	6601 BERMUDA ROAD		7028977150	US	NV	LAS VEGAS	89119	6601 BERMUDA ROAD		US	NV	810422894	AUTOTOTE CORP	19920703	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180802	2018-08-01 19:10:00.0	0	1	sgms-20180630.xml	1	
0000750556-18-000186	750556	SUNTRUST BANKS INC	6021	US	GA	ATLANTA	30308	303 PEACHTREE ST NE		4045887711	US	GA	ATLANTA	30308	303 PEACHTREE ST NE		US	GA	581575035			1-LAF	1	1231	10-Q	20180630	2018	Q2	20180803	2018-08-03 16:05:00.0	0	1	sti-20180630.xml	1	
0000750577-18-000041	750577	HANCOCK WHITNEY CORP	6022	US	MS	GULFPORT	39501	ONE HANCOCK WHITNEY PLAZA	P O BOX 4019	5042995208	US	MS	GULFPORT	39501	ONE HANCOCK WHITNEY PLAZA	P O BOX 4019	US	MS	640693170	HANCOCK HOLDING CO	19920703	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180808	2018-08-07 19:05:00.0	0	1	hwc-20180630.xml	1	
0000750686-18-000157	750686	CAMDEN NATIONAL CORP	6021	US	ME	CAMDEN	04843	TWO ELM ST		2072368821	US	ME	CAMDEN	04843	2 ELM ST		US	ME	010413282			2-ACC	0	1231	10-Q	20180630	2018	Q2	20180803	2018-08-03 09:23:00.0	0	1	cac-20180630.xml	1	
0000750813-18-000030	750813	SEITEL INC	1382	US	TX	HOUSTON	77043	10811 S. WESTVIEW CIRCLE	BUILDING C, SUITE 100	7138818900	US	TX	HOUSTON	77043	10811 S. WESTVIEW CIRCLE	BUILDING C, SUITE 100	US	DE	760025431	SEISMIC ENTERPRISES INC	19870814	4-NON	0	1231	10-Q	20180630	2018	Q2	20180814	2018-08-14 16:27:00.0	0	1	cik0000750813-20180630.xml	1	
0000751364-18-000084	751364	NATIONAL RETAIL PROPERTIES, INC.	6798	US	FL	ORLANDO	32801	450 S ORANGE AVE	SUITE 900	407-666-7348	US	FL	ORLANDO	32801	450 SOUTH ORANGE AVE	SUITE 900	US	MD	561431377	COMMERCIAL NET LEASE REALTY INC	19930510	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180801	2018-08-01 08:40:00.0	0	1	a20180630form10-q_htm.xml	1	
0000753308-18-000114	753308	NEXTERA ENERGY INC	4911	US	FL	JUNO BEACH	33408	700 UNIVERSE BLVD		5616944000	US	FL	JUNO BEACH	33408	P O BOX 14000		US	FL	592449419	FPL GROUP INC	19920703	1-LAF	1	1231	10-Q	20180630	2018	Q2	20180725	2018-07-25 16:11:00.0	0	1	nee-20180630.xml	2	37634
0000754737-18-000228	754737	SCANA CORP	4931	US	SC	CAYCE	29033	100 SCANA PARKWAY	MAIL CODE - B123	8032179000	US	SC	CAYCE	29033	220 OPERATION WAY	MAIL CODE - B123	US	SC	570784499			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180802	2018-08-02 17:01:00.0	0	1	scg-20180630.xml	2	91882
0000757011-18-000064	757011	USG CORP	3270	US	IL	CHICAGO	60661	550 WEST ADAMS STREET	DEPARTMENT 188	312-606-4000	US	IL	CHICAGO	60661	DEPARTMENT #188	550 WEST ADAMS STREET	US	DE	363329400			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180725	2018-07-25 12:28:00.0	0	1	usg-20180630.xml	1	
0000759944-18-000067	759944	CITIZENS FINANCIAL GROUP INC/RI	6022	US	RI	PROVIDENCE	02903	1 CITIZENS PLAZA		4014567000	US	RI	PROVIDENCE	02903	1 CITIZENS PLAZA		US	DE	050412693			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180806	2018-08-06 15:49:00.0	0	1	cfg-20180630.xml	1	
0000763563-18-000080	763563	CHEMUNG FINANCIAL CORP	6022	US	NY	ELMIRA	14902	ONE CHEMUNG CANAL PLZ	P O BOX 1522	6077373711	US	NY	ELMIRA	14902	ONE CHEMUNG CANAL PLZ	P O BOX 1522	US	NY	161237038			2-ACC	0	1231	10-Q	20180630	2018	Q2	20180801	2018-08-01 16:59:00.0	0	1	chmg-20180630.xml	1	
0000763744-18-000211	763744	LCI INDUSTRIES	3714	US	IN	ELKHART	46514	3501 COUNTY ROAD 6 EAST		5745351125	US	IN	ELKHART	46514	3501 COUNTY ROAD 6 EAST		US	DE	133250533	DREW INDUSTRIES INC	20161220	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180807	2018-08-07 14:32:00.0	0	1	lcii-20180630.xml	1	
0000764065-18-000126	764065	CLEVELAND-CLIFFS INC.	1000	US	OH	CLEVELAND	44114-2315	200 PUBLIC SQUARE	STE. 3300	216-694-5700	US	OH	CLEVELAND	44114-2315	200 PUBLIC SQUARE	STE. 3300	US	OH	341464672	CLIFFS NATURAL RESOURCES INC.	20081015	1-LAF	1	1231	10-Q	20180630	2018	Q2	20180724	2018-07-24 13:40:00.0	0	1	clf-20180630.xml	1	
0000764180-18-000072	764180	ALTRIA GROUP, INC.	2111	US	VA	RICHMOND	23230	6601 WEST BROAD STREET		(804) 274-22	US	VA	RICHMOND	23230	6601 WEST BROAD STREET		US	VA	133260245	ALTRIA GROUP INC	20030127	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180726	2018-07-26 10:45:00.0	0	1	mo-20180630.xml	1	
0000764478-18-000043	764478	BEST BUY CO INC	5731	US	MN	RICHFIELD	55423	7601 PENN AVE SOUTH		6122911000	US	MN	RICHFIELD	55423	7601 PENN AVE SOUTH		US	MN	410907483	BEST BUYS CO INC	19900809	1-LAF	0	0131	10-Q	20180731	2018	Q2	20180910	2018-09-10 17:06:00.0	0	1	bby-20180804.xml	1	
0000764622-18-000052	764622	PINNACLE WEST CAPITAL CORP	4911	US	AZ	PHOENIX	85004	400 NORTH FIFTH STREET	MS8695	602 250 1000	US	AZ	PHOENIX	85004	400 NORTH FIFTH STREET	MS8695	US	AZ	860512431	AZP GROUP INC	19870506	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180803	2018-08-03 08:35:00.0	0	1	pnw-20180630.xml	2	7286
0000764764-18-000133	764764	CATERPILLAR FINANCIAL SERVICES CORP	6159	US	TN	NASHVILLE	37203	2120 WEST END AVE		6153411000	US	TN	NASHVILLE	37203	2120 WEST END AVENUE		US	DE	371105865			4-NON	0	1231	10-Q	20180630	2018	Q2	20180807	2018-08-07 12:36:00.0	0	1	cfsc-20180630.xml	1	
0000765207-18-000040	765207	FIRST BANCORP, INC /ME/	6021	US	ME	DAMARISCOTTA	04543	P.O. BOX 940	MAIN STREET	2075633195	US	ME	DAMARISCOTTA	04543	P.O. BOX 940		US	ME	010404322	FIRST NATIONAL LINCOLN CORP /ME/	19920703	2-ACC	0	1231	10-Q	20180630	2018	Q2	20180809	2018-08-09 08:51:00.0	0	1	fnlc-20180630.xml	1	
0000766404-18-000009	766404	MULTI SOFT II, INC	6770	US	FL	MIAMI	33137	4400 BISCAYNE BOULEVARD	10TH FLOOR	3055798000	US	FL	MIAMI	33137	4400 BISCAYNE BOULEVARD	10TH FLOOR	US	FL	222588030	MULTI SOFT INC	19920703	5-SML	0	0131	10-Q	20180731	2018	Q2	20180907	2018-09-07 16:24:00.0	0	1	msof-20180731.xml	1	
0000766421-18-000047	766421	ALASKA AIR GROUP, INC.	4512	US	WA	SEATTLE	98188	19300 INTERNATIONAL BOULEVARD		206-392-5040	US	WA	SEATTLE	98188	19300 INTERNATIONAL BOULEVARD		US	DE	911292054	ALASKA AIR GROUP INC	19920703	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180808	2018-08-07 18:10:00.0	0	1	alk-20180630.xml	1	
0000766704-18-000040	766704	WELLTOWER INC.	6798	US	OH	TOLEDO	43615	4500 DORR STREET		419-247-2800	US	OH	TOLEDO	43615	4500 DORR STREET		US	DE	341096634	HEALTH CARE REIT INC /DE/	19920703	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180802	2018-08-02 16:21:00.0	0	1	well-20180630.xml	1	
0000766829-18-000115	766829	SJW GROUP	4941	US	CA	SAN JOSE	95110	110 W. TAYLOR STREET		4082797800	US	CA	SAN JOSE	95110	110 W. TAYLOR STREET		US	DE	770066628	SJW CORP	19920703	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180727	2018-07-27 12:31:00.0	0	1	sjw-20180630.xml	1	
0000768835-18-000092	768835	BIG LOTS INC	5331	US	OH	COLUMBUS	43228-0512	300 PHILLIPI ROAD	P.O.BOX 28512	614-278-6800	US	OH	COLUMBUS	43228-0512	300 PHILLIPI ROAD	P.O.BOX 28512	US	OH	061119097			1-LAF	1	0131	10-Q	20180731	2018	Q2	20180912	2018-09-12 16:15:00.0	0	1	big-20180804.xml	1	
0000768899-18-000035	768899	TRUEBLUE, INC.	7363	US	WA	TACOMA	98402	1015 A STREET		253-383-9101	US	WA	TACOMA	98402	P.O. BOX 2910	1015 A. ST.	US	WA	911287341	LABOR READY INC	19920703	1-LAF	1	1231	10-Q	20180630	2018	Q2	20180730	2018-07-30 16:13:00.0	0	1	tbi-20180701.xml	1	
0000769397-18-000042	769397	AUTODESK INC	7372	US	CA	SAN RAFAEL	94903	111 MCINNIS PKWY		4155075000	US	CA	SAN RAFAEL	94903	111 MCINNIS PKWY		US	DE	942819853			1-LAF	0	0131	10-Q	20180731	2018	Q2	20180830	2018-08-30 16:08:00.0	0	1	adsk-7312018x10q_htm.xml	1	
0000769520-18-000009	769520	MIDDLEBY CORP	3580	US	IL	ELGIN	60120	1400 TOASTMASTER DRIVE		8477413300	US	IL	ELGIN	60120	1400 TOASTMASTER DRIVE		US	DE	363352497			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180809	2018-08-09 15:46:00.0	0	1	midd-20180630.xml	1	
0000771266-18-000037	771266	KOPIN CORP	3674	US	MA	WESTBOROUGH	01581	125 NORTH DRIVE		508-870-5959	US	MA	WESTBOROUGH	01581	125 NORTH DRIVE		US	DE	042833935			2-ACC	0	1231	10-Q	20180630	2018	Q2	20180809	2018-08-09 16:10:00.0	0	1	kopn-20180630.xml	1	
0000772406-18-000012	772406	CIRRUS LOGIC INC	3674	US	TX	AUSTIN	78701	800 WEST 6TH STREET		512-851-4000	US	TX	AUSTIN	78701	800 WEST 6TH STREET		US	DE	770024818			1-LAF	0	0331	10-Q	20180630	2018	Q1	20180801	2018-08-01 16:06:00.0	0	1	crus-20180630.xml	1	
0000773910-18-000044	773910	ANADARKO PETROLEUM CORP	1311	US	TX	THE WOODLANDS	77380-1046	1201 LAKE ROBBINS DRIVE		832-636-1000	US	TX	THE WOODLANDS	77380	1201 LAKE ROBBINS DR.		US	DE	760146568			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180731	2018-07-31 16:44:00.0	0	1	apc-20180630.xml	1	
0000775158-18-000088	775158	OSHKOSH CORP	3711	US	WI	OSHKOSH	54903	2307 OREGON ST	P O BOX 2566	920 235 9151	US	WI	OSHKOSH	54903	2307 OREGON ST P O BOX 2566	2307 OREGON ST P O BOX 2566	US	WI	390520270	OSHKOSH TRUCK CORP	19920703	1-LAF	0	0930	10-Q	20180630	2018	Q3	20180731	2018-07-31 16:54:00.0	0	1	osk-20180630.xml	1	
0000776867-18-000018	776867	WHITE MOUNTAINS INSURANCE GROUP LTD	6331	US	NH	HANOVER	03755	80 SOUTH MAIN ST		603 640 2200	US	NH	HANOVER	03755	80 SOUTH MAIN STREET		BM		942708455	WHITE MOUNTAINS INSURANCE GROUP INC	19990603	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180807	2018-08-07 09:15:00.0	0	1	wtm-20180630.xml	1	
0000776901-18-000201	776901	INDEPENDENT BANK CORP	6022	US	MA	ROCKLAND	02370	288 UNION STREET		7818786100	US	MA	ROCKLAND	02370	288 UNION STREET		US	MA	042870273			2-ACC	0	1231	10-Q	20180630	2018	Q2	20180802	2018-08-02 16:08:00.0	0	1	indb-20180630.xml	1	
0000777917-18-000054	777917	PRUCO LIFE INSURANCE CO	6311	US	NJ	NEWARK	07102	213 WASHINGTON ST	111 DURHAM AVENUE	2018026000	US	NJ	NEWARK	07102	213 WASHINGTON STREET		US	AZ	221944557			4-NON	0	1231	10-Q	20180630	2018	Q2	20180810	2018-08-10 16:16:00.0	0	1	cik777917-20180630.xml	1	
0000778946-18-000047	778946	BLUEGREEN VACATIONS CORP	6531	US	FL	BOCA RATON	33431	4960 CONFERENCE WAY NORTH	SUITE 100	5619128000	US	FL	BOCA RATON	33431	4960 CONFERENCE WAY NORTH	SUITE 100	US	FL	030300793	BLUEGREEN CORP	19960322	4-NON	0	1231	10-Q	20180630	2018	Q2	20180803	2018-08-03 16:38:00.0	0	1	bxg-20180630.xml	1	
0000779152-18-000060	779152	HENRY JACK & ASSOCIATES INC	7373	US	MO	MONETT	65708-0807	PO BOX 807	663 HWY 60	4172356652	US	MO	MONETT	65708-0807	PO BOX 807	663 HWY 60	US	DE	431128385			1-LAF	1	0630	10-K	20180630	2018	FY	20180824	2018-08-24 14:26:00.0	0	1	jkhy-20180630.xml	1	
0000780571-18-000041	780571	ITRON INC /WA/	3825	US	WA	LIBERTY LAKE	99019	2111 N MOLTER ROAD		5099249900	US	WA	LIBERTY LAKE	99019	2111 N MOLTER ROAD		US	WA	911011792	ITRON INC	19920724	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180807	2018-08-06 18:25:00.0	0	1	itri-20180630.xml	1	
0000783005-18-000039	783005	EMMIS COMMUNICATIONS CORP	4832	US	IN	INDIANAPOLIS	46204	ONE EMMIS PLAZA	40 MONUMENT CIRCLE SUITE 700	3172660100	US	IN	INDIANAPOLIS	46204	ONE EMMIS PLAZA	40 MONUMENT CIRCLE #700	US	IN	351542018	EMMIS BROADCASTING CORPORATION	19920703	5-SML	0	0228	10-Q	20180531	2018	Q1	20180712	2018-07-11 17:45:00.0	0	1	emms-20180531.xml	1	
0000783280-18-000053	783280	DUKE REALTY CORP	6798	US	IN	INDIANAPOLIS	46240	600 EAST 96TH STREET	STE 100	3178086000	US	IN	INDIANAPOLIS	46240	600 EAST 96TH STREET	STE 100	US	IN	351740409	DUKE WEEKS REALTY CORP	19990716	1-LAF	1	1231	10-Q	20180630	2018	Q2	20180727	2018-07-27 09:44:00.0	0	1	a2ndqd0c2018_htm.xml	2	1003410
0000783324-18-000028	783324	VISTA GOLD CORP	1040	US	CO	LITTLETON	80127	7961 SHAFFER PKWY, SUITE 5		720-981-1185	US	CO	LITTLETON	80127	7961 SHAFFER PKWY, SUITE 5		CA	BC	000000000	GRANGES INC	19950602	2-ACC	0	1231	10-Q	20180630	2018	Q2	20180725	2018-07-25 15:11:00.0	0	1	c324-20180630.xml	1	
0000784011-18-000072	784011	POPE RESOURCES LTD PARTNERSHIP	0800	US	WA	POULSBO	98370	19950 7TH AVENUE NE	SUITE 200	360-697-6626	US	WA	POULSBO	98370	19950 7TH AVENUE NE	SUITE 200	US	DE	911313292			2-ACC	0	1231	10-Q	20180630	2018	Q2	20180808	2018-08-08 12:56:00.0	0	1	pope-20180630.xml	1	
